prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.20602941513061523,17.563450574874878,1746247418.789342,1746247436.5588224
543,332,0.1953432559967041,21.421059131622314,1746247419.5355601,1746247441.1519632
550,286,0.16805148124694824,18.141789197921753,1746247420.2817924,1746247438.5916333
499,270,0.19685769081115723,16.981170892715454,1746247421.0286598,1746247438.206689
1341,240,0.22040557861328125,15.0819251537323,1746247421.7746546,1746247437.0769856
765,125,0.15736103057861328,7.680394887924194,1746247422.5210843,1746247430.3588426
981,181,0.19257020950317383,11.198241710662842,1746247423.2680473,1746247434.6588595
968,244,0.26334476470947266,15.594337940216064,1746247424.0132,1746247439.870883
673,51,0.24275755882263184,3.0623819828033447,1746247424.7598863,1746247428.0650284
311,475,0.13468456268310547,32.307642459869385,1746247425.5064707,1746247457.948798
1209,77,0.2317039966583252,4.574787139892578,1746247426.2520173,1746247431.0585086
341,147,0.1684894561767578,9.214407920837402,1746247426.9985201,1746247436.381418
517,250,0.20885944366455078,16.08550453186035,1746247427.7452772,1746247444.0396414
477,262,0.19697785377502441,17.22973608970642,1746247428.4930596,1746247445.9197743
1056,162,0.20024633407592773,10.488137483596802,1746247429.237098,1746247439.925482
222,310,0.1570894718170166,20.997180223464966,1746247429.9840453,1746247451.1383152
708,108,0.1645677089691162,7.063953399658203,1746247430.7299256,1746247437.9584472
763,137,0.21653366088867188,9.027777671813965,1746247431.4759412,1746247440.720253
818,460,0.22169995307922363,32.54683470726013,1746247432.2230558,1746247464.9915907
875,247,0.23114800453186035,16.85495090484619,1746247432.9686787,1746247450.0547779
348,42,0.1146092414855957,2.7917091846466064,1746247433.7147908,1746247436.6211097
190,130,0.13366031646728516,8.659115552902222,1746247434.4612436,1746247443.2540197
1071,297,0.2089385986328125,20.957956314086914,1746247435.2078278,1746247456.374723
1184,327,0.30489373207092285,23.159379720687866,1746247435.9541364,1746247459.4184103
377,30,0.19343185424804688,1.9183878898620605,1746247436.6996682,1746247438.8114886
924,222,0.2078866958618164,15.314148187637329,1746247437.4462137,1746247452.9682488
826,173,0.21889615058898926,11.76602578163147,1746247438.1928036,1746247450.1777258
696,158,0.2341599464416504,10.757866382598877,1746247438.9385366,1746247449.9305637
717,276,0.18212532997131348,19.673022270202637,1746247439.6850843,1746247459.5402324
507,246,0.17901253700256348,17.58833599090576,1746247440.4310443,1746247458.198393
816,321,0.27434849739074707,23.236117601394653,1746247441.17833,1746247464.6887965
351,134,0.16436505317687988,9.41444993019104,1746247441.924142,1746247451.502957
340,84,0.1624910831451416,5.785308122634888,1746247442.6701112,1746247448.6179106
593,231,0.20397591590881348,16.86287021636963,1746247443.417379,1746247460.4842253
982,186,0.2310638427734375,13.616686582565308,1746247444.162403,1746247458.010154
1214,416,0.2680222988128662,30.84117341041565,1746247444.909022,1746247476.0182183
899,434,0.26171255111694336,32.31021189689636,1746247445.6575036,1746247478.2294285
450,272,0.20814847946166992,19.88189721107483,1746247446.401608,1746247466.4916542
535,247,0.22396016120910645,18.20313596725464,1746247447.1478598,1746247465.5749562
898,250,0.17547845840454102,18.361291646957397,1746247447.8942027,1746247466.4309735
633,120,0.23302197456359863,8.754178762435913,1746247448.6404727,1746247457.6276739
686,101,0.2392888069152832,7.298793077468872,1746247449.386811,1746247456.9248934
1000,146,0.3348877429962158,10.602076768875122,1746247450.132563,1746247461.069528
487,9,0.1331486701965332,0.4905240535736084,1746247450.8793755,1746247451.5030484
782,253,0.20886659622192383,18.790740489959717,1746247451.625827,1746247470.6254346
558,45,0.22720861434936523,3.3013112545013428,1746247452.3721278,1746247455.900648
488,133,0.23378562927246094,9.820340633392334,1746247453.1185122,1746247463.172639
926,433,0.32886600494384766,32.40171933174133,1746247453.8642116,1746247486.5947971
780,350,0.31761956214904785,26.188671350479126,1746247454.6110895,1746247481.1173806
920,298,0.17779183387756348,22.27949023246765,1746247455.357807,1746247477.8150892
614,281,0.20737552642822266,21.129629850387573,1746247456.1029878,1746247477.4399934
1204,112,0.28722119331359863,8.255663394927979,1746247456.8496325,1746247465.3925173
889,194,0.22851824760437012,14.388493299484253,1746247457.5961323,1746247472.213144
578,272,0.19467616081237793,20.46251106262207,1746247458.3417957,1746247478.9989834
738,327,0.26215577125549316,24.57821822166443,1746247459.089697,1746247483.930071
997,289,0.2791452407836914,21.80018138885498,1746247459.8346107,1746247481.9139376
879,381,0.18346405029296875,28.67823362350464,1746247460.5806997,1746247489.4423976
844,326,0.20524311065673828,24.433981895446777,1746247461.3267486,1746247485.965974
775,193,0.31522130966186523,14.468727350234985,1746247462.073548,1746247476.8574975
1596,223,0.2266225814819336,16.7879478931427,1746247462.8211482,1746247479.8357189
895,261,0.23517537117004395,19.703799962997437,1746247463.5653872,1746247483.504363
1172,302,0.2508866786956787,22.735284328460693,1746247464.3118057,1746247487.2979774
1218,162,0.27298450469970703,12.237403392791748,1746247465.0579548,1746247477.568343
739,390,0.19758343696594238,29.25914216041565,1746247465.8046515,1746247495.2613776
810,318,0.29854726791381836,23.967782735824585,1746247466.5528526,1746247490.819183
1556,51,0.2978096008300781,3.7673304080963135,1746247467.296673,1746247471.3618135
602,150,0.20772314071655273,11.339690923690796,1746247468.0429766,1746247479.5903912
778,206,0.22779417037963867,15.467144012451172,1746247468.789618,1746247484.484557
