prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
76.0,20.0,0.025807619094848633,0.21922731399536133,8003,1,1746075954.322808,1746075954.5678437
76.0,20.0,0.02423238754272461,0.22023701667785645,8004,1,1746075957.9399555,1746075958.1844258
76.0,20.0,0.023613691329956055,0.219329833984375,8005,1,1746075961.5616994,1746075961.8046434
76.0,20.0,0.024070024490356445,0.2201075553894043,8006,1,1746075965.182539,1746075965.4267175
76.0,20.0,0.02342510223388672,0.219207763671875,8007,1,1746075968.8026397,1746075969.0452733
76.0,20.0,0.023707866668701172,0.21923279762268066,8008,1,1746075972.4220643,1746075972.665006
76.0,20.0,0.02494025230407715,0.21883177757263184,8009,1,1746075976.0432029,1746075976.2869759
76.0,20.0,0.0237274169921875,0.21916723251342773,8010,1,1746075979.6632366,1746075979.9061317
76.0,20.0,0.02634596824645996,0.21876978874206543,8011,1,1746075983.3133464,1746075983.5584629
76.0,20.0,0.024324417114257812,0.22030282020568848,8012,1,1746075986.9333882,1746075987.178016
76.0,20.0,0.024999380111694336,0.21851110458374023,8013,1,1746075990.5533934,1746075990.7969046
76.0,20.0,0.024893999099731445,0.21917200088500977,8014,1,1746075994.1764393,1746075994.420506
76.0,20.0,0.023636579513549805,0.21933603286743164,8015,1,1746075997.797949,1746075998.0409222
76.0,20.0,0.024281740188598633,0.21928000450134277,8016,1,1746076001.4206402,1746076001.6642025
76.0,20.0,0.02490973472595215,0.2191457748413086,8017,1,1746076005.0457265,1746076005.2897825
76.0,20.0,0.02452373504638672,0.2194838523864746,8018,1,1746076008.6699007,1746076008.9139087
76.0,20.0,0.024277210235595703,0.21905303001403809,8019,1,1746075951.3101246,1746075951.5534554
125.0,20.0,0.0276491641998291,0.2251720428466797,8019,2,1746076012.348786,1746076012.6016083
76.0,20.0,0.023954153060913086,0.21898412704467773,8020,1,1746075954.9278607,1746075955.1707997
125.0,20.0,0.02778911590576172,0.2232053279876709,8020,2,1746076015.9706285,1746076016.2216237
76.0,20.0,0.02363443374633789,0.21912693977355957,8021,1,1746075958.545659,1746075958.788421
125.0,20.0,0.025873184204101562,0.22377657890319824,8021,2,1746076019.5968337,1746076019.8464844
76.0,20.0,0.02652907371520996,0.21897530555725098,8022,1,1746075962.1674464,1746075962.4129512
125.0,20.0,0.02715277671813965,0.22335076332092285,8022,2,1746076023.1254928,1746076023.375997
76.0,20.0,0.024008512496948242,0.21885347366333008,8023,1,1746075965.7894187,1746075966.0322814
125.0,20.0,0.026091814041137695,0.2222003936767578,8023,2,1746076026.748763,1746076026.997056
76.0,20.0,0.024858474731445312,0.21882414817810059,8024,1,1746075969.4083958,1746075969.6520855
125.0,20.0,0.027627229690551758,0.22287464141845703,8024,2,1746076030.3725305,1746076030.6230328
76.0,20.0,0.02510857582092285,0.21948552131652832,8025,1,1746075973.0276499,1746075973.2722447
125.0,20.0,0.026641368865966797,0.3243246078491211,8025,2,1746076033.9976385,1746076034.3486052
76.0,20.0,0.03291058540344238,0.21941614151000977,8026,1,1746075976.650081,1746075976.9024081
125.0,20.0,0.026655912399291992,0.22288107872009277,8026,2,1746076037.6853323,1746076037.9348698
76.0,20.0,0.024507999420166016,0.2191452980041504,8027,1,1746075980.2696495,1746075980.5133035
125.0,20.0,0.026373624801635742,0.223358154296875,8027,2,1746076041.3078117,1746076041.557544
76.0,20.0,0.025063753128051758,0.21921682357788086,8028,1,1746075983.9188962,1746075984.1631775
125.0,20.0,0.026979684829711914,0.22316431999206543,8028,2,1746076044.9707038,1746076045.2208486
76.0,20.0,0.024500370025634766,0.21929264068603516,8029,1,1746075987.5392442,1746075987.783038
125.0,20.0,0.026435136795043945,0.22337651252746582,8029,2,1746076048.4924018,1746076048.742214
76.0,20.0,0.024333477020263672,0.21909332275390625,8030,1,1746075991.160537,1746075991.4039648
76.0,20.0,0.024475574493408203,0.21920347213745117,8031,1,1746075994.7830014,1746075995.0266812
76.0,20.0,0.024956464767456055,0.2198619842529297,8032,1,1746075998.4039001,1746075998.6487193
76.0,20.0,0.025133848190307617,0.21949100494384766,8033,1,1746076002.0270147,1746076002.27164
76.0,20.0,0.0240936279296875,0.21929121017456055,8034,1,1746076005.5535684,1746076005.7969537
76.0,20.0,0.025032758712768555,0.21984577178955078,8035,1,1746076009.1755898,1746076009.420469
76.0,20.0,0.02465510368347168,0.21863627433776855,8036,1,1746075951.9126475,1746075952.1559393
125.0,20.0,0.02887725830078125,0.22303390502929688,8036,2,1746076012.9547322,1746076013.2066443
76.0,20.0,0.02365732192993164,0.21907281875610352,8037,1,1746075955.5299578,1746075955.7726884
125.0,20.0,0.02688121795654297,0.22300982475280762,8037,2,1746076016.577086,1746076016.8269775
76.0,20.0,0.024642229080200195,0.21971440315246582,8038,1,1746075959.1480947,1746075959.3924518
125.0,20.0,0.0269930362701416,0.22277402877807617,8038,2,1746076020.1064308,1746076020.3561983
76.0,20.0,0.024286270141601562,0.21943211555480957,8039,1,1746075962.7702975,1746075963.0140166
125.0,20.0,0.026167631149291992,0.22331690788269043,8039,2,1746076023.7316003,1746076023.9810858
76.0,20.0,0.024662256240844727,0.21856093406677246,8040,1,1746075966.3921466,1746075966.6353705
125.0,20.0,0.027419090270996094,0.22214078903198242,8040,2,1746076027.3551805,1746076027.604741
76.0,20.0,0.02552652359008789,0.218980073928833,8041,1,1746075970.0111516,1746075970.255659
125.0,20.0,0.026985883712768555,0.22327971458435059,8041,2,1746076030.9791381,1746076031.2294052
76.0,20.0,0.023874521255493164,0.21853089332580566,8042,1,1746075973.6302373,1746075973.872644
125.0,20.0,0.026144027709960938,0.22230935096740723,8042,2,1746076034.6624458,1746076034.9108999
76.0,20.0,0.024326086044311523,0.2189924716949463,8043,1,1746075977.2527826,1746075977.4961016
125.0,20.0,0.0265200138092041,0.22242283821105957,8043,2,1746076038.2915637,1746076038.5405076
76.0,20.0,0.0322263240814209,0.2249622344970703,8044,1,1746075981.3046622,1746075981.5618515
125.0,20.0,0.03551483154296875,0.23286843299865723,8044,2,1746076042.5547493,1746076042.823133
76.0,20.0,0.023645877838134766,0.21831536293029785,8045,1,1746075984.4216828,1746075984.663645
125.0,20.0,0.0365598201751709,0.2242727279663086,8045,2,1746076045.3760538,1746076045.6368873
76.0,20.0,0.025365829467773438,0.2191605567932129,8046,1,1746075988.0414736,1746075988.2860007
125.0,20.0,0.025550127029418945,0.22284555435180664,8046,2,1746076049.0010962,1746076049.2494924
76.0,20.0,0.023633718490600586,0.218292236328125,8047,1,1746075991.6634693,1746075991.9053957
76.0,20.0,0.023057937622070312,0.21856427192687988,8048,1,1746075995.285824,1746075995.527447
76.0,20.0,0.023962974548339844,0.21874499320983887,8049,1,1746075998.9070559,1746075999.1497643
76.0,20.0,0.024006128311157227,0.21901226043701172,8050,1,1746076002.5301123,1746076002.7731316
76.0,20.0,0.02529168128967285,0.21837162971496582,8051,1,1746076006.1567268,1746076006.4003909
76.0,20.0,0.024886131286621094,0.21816468238830566,8052,1,1746076009.7784424,1746076010.021494
76.0,20.0,0.023351192474365234,0.2192363739013672,8053,1,1746075952.4148028,1746075952.6573908
125.0,20.0,0.026895523071289062,0.22229433059692383,8053,2,1746076013.4572275,1746076013.7064183
76.0,20.0,0.0240933895111084,0.21885919570922852,8054,1,1746075956.0320675,1746075956.2750206
125.0,20.0,0.02653193473815918,0.2233748435974121,8054,2,1746076017.079737,1746076017.3296444
76.0,20.0,0.023525476455688477,0.21885061264038086,8055,1,1746075959.6504128,1746075959.8927896
125.0,20.0,0.02590632438659668,0.22279858589172363,8055,2,1746076020.6092534,1746076020.8579588
76.0,20.0,0.023438692092895508,0.21856045722961426,8056,1,1746075963.273068,1746075963.5150678
125.0,20.0,0.026624679565429688,0.22186684608459473,8056,2,1746076024.2346907,1746076024.4831827
76.0,20.0,0.024080753326416016,0.21926093101501465,8057,1,1746075966.8943186,1746075967.1376612
125.0,20.0,0.025863170623779297,0.22346186637878418,8057,2,1746076027.8581476,1746076028.1074731
76.0,20.0,0.02380514144897461,0.2193756103515625,8058,1,1746075970.5135002,1746075970.7566817
125.0,20.0,0.02602386474609375,0.22266674041748047,8058,2,1746076031.4827964,1746076031.7314875
76.0,20.0,0.025216341018676758,0.21904850006103516,8059,1,1746075974.1328027,1746075974.3770683
125.0,20.0,0.025855302810668945,0.2227492332458496,8059,2,1746076035.1655629,1746076035.414168
76.0,20.0,0.02485370635986328,0.2192072868347168,8060,1,1746075977.7549133,1746075977.9989748
125.0,20.0,0.025740385055541992,0.22346234321594238,8060,2,1746076038.7942672,1746076039.0434704
76.0,20.0,0.04046273231506348,0.22153258323669434,8061,1,1746075981.4051156,1746075981.6671114
125.0,20.0,0.03102397918701172,0.22957921028137207,8061,2,1746076042.5565913,1746076042.817195
76.0,20.0,0.024909496307373047,0.21953630447387695,8062,1,1746075985.024539,1746075985.2689855
125.0,20.0,0.027940750122070312,0.2227034568786621,8062,2,1746076045.9788897,1746076046.2295344
76.0,20.0,0.024781465530395508,0.2190842628479004,8063,1,1746075988.6441867,1746075988.8880537
125.0,20.0,0.02652716636657715,0.2231614589691162,8063,2,1746076049.606785,1746076049.8564744
76.0,20.0,0.024247407913208008,0.2192978858947754,8064,1,1746075992.2664976,1746075992.5100436
76.0,20.0,0.024964332580566406,0.21892213821411133,8065,1,1746075995.8888586,1746075996.1327455
76.0,20.0,0.024679183959960938,0.21944093704223633,8066,1,1746075999.5102613,1746075999.7543821
76.0,20.0,0.025151968002319336,0.21935391426086426,8067,1,1746076003.1336281,1746076003.3781345
76.0,20.0,0.023682117462158203,0.2200174331665039,8068,1,1746076006.760092,1746076007.0037923
76.0,20.0,0.02429986000061035,0.21906113624572754,8069,1,1746076010.3815506,1746076010.6249125
76.0,20.0,0.024326324462890625,0.21871376037597656,8070,1,1746075953.0172179,1746075953.2602587
125.0,20.0,0.029267072677612305,0.22306036949157715,8070,2,1746076014.0605083,1746076014.3128362
76.0,20.0,0.024230003356933594,0.21901965141296387,8071,1,1746075956.6346705,1746075956.8779213
125.0,20.0,0.026636123657226562,0.2230515480041504,8071,2,1746076017.6825256,1746076017.932214
76.0,20.0,0.024088144302368164,0.21888518333435059,8072,1,1746075960.2530367,1746075960.4960103
125.0,20.0,0.027158021926879883,0.22315073013305664,8072,2,1746076021.213617,1746076021.4639266
76.0,20.0,0.024298667907714844,0.22005224227905273,8073,1,1746075963.8763614,1746075964.1207128
125.0,20.0,0.026709318161010742,0.22274208068847656,8073,2,1746076024.8380284,1746076025.0874803
76.0,20.0,0.023726940155029297,0.21908164024353027,8074,1,1746075967.4968698,1746075967.7396789
125.0,20.0,0.02824854850769043,0.22281765937805176,8074,2,1746076028.461402,1746076028.712469
76.0,20.0,0.024529218673706055,0.21856951713562012,8075,1,1746075971.1163135,1746075971.359413
125.0,20.0,0.027068614959716797,0.2224123477935791,8075,2,1746076032.0864904,1746076032.335972
76.0,20.0,0.024100303649902344,0.21912908554077148,8076,1,1746075974.7356267,1746075974.978857
125.0,20.0,0.026282548904418945,0.2226545810699463,8076,2,1746076035.7717683,1746076036.020706
76.0,20.0,0.023906469345092773,0.2183699607849121,8077,1,1746075978.357611,1746075978.599888
125.0,20.0,0.02700042724609375,0.22163844108581543,8077,2,1746076039.3974547,1746076039.6460938
76.0,20.0,0.024901151657104492,0.21936869621276855,8078,1,1746075982.0079265,1746075982.2521968
125.0,20.0,0.028069734573364258,0.22393560409545898,8078,2,1746076043.057408,1746076043.3094141
76.0,20.0,0.0239102840423584,0.21831583976745605,8079,1,1746075985.6275163,1746075985.8697429
125.0,20.0,0.02799391746520996,0.2233898639678955,8079,2,1746076046.581963,1746076046.8333473
76.0,20.0,0.024969816207885742,0.21906137466430664,8080,1,1746075989.2466319,1746075989.4906642
