prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.06671953201293945,3.915215253829956,1746068387.0071855,1746068390.989121
543,332,0.05144667625427246,4.259076833724976,1746068387.1615887,1746068391.4721127
550,243,0.07257199287414551,3.4627368450164795,1746068387.314584,1746068390.8498936
499,270,0.05493593215942383,3.891953468322754,1746068387.468414,1746068391.4153037
1341,240,0.048157453536987305,3.087059736251831,1746068387.6229985,1746068390.7582161
765,125,0.07811331748962402,1.7704570293426514,1746068387.7768672,1746068389.6254385
981,181,0.09403562545776367,2.50195050239563,1746068387.9300637,1746068390.52605
968,244,0.07485795021057129,3.4699158668518066,1746068388.0841255,1746068391.6288996
673,51,0.059203147888183594,0.6655702590942383,1746068388.2381048,1746068388.9628828
311,475,0.04156851768493652,6.8822572231292725,1746068388.3917556,1746068395.315582
1209,77,0.05914425849914551,0.9878067970275879,1746068388.5479884,1746068389.5949411
341,194,0.054505348205566406,2.7790284156799316,1746068388.7009125,1746068391.534447
517,250,0.04555463790893555,3.2656869888305664,1746068388.8535585,1746068392.164801
477,262,0.04600024223327637,3.75825834274292,1746068389.0072188,1746068392.8114784
1056,162,0.05122661590576172,2.3317325115203857,1746068389.1614404,1746068391.5444002
222,310,0.04378843307495117,4.432089805603027,1746068389.317042,1746068393.792921
708,108,0.07752490043640137,1.3982243537902832,1746068389.4695497,1746068390.9452994
763,137,0.07261896133422852,1.7486035823822021,1746068389.6238105,1746068391.4450336
818,460,0.04880118370056152,6.882174968719482,1746068389.77628,1746068396.7072566
875,247,0.057251930236816406,3.5623319149017334,1746068389.9307225,1746068393.550307
348,53,0.04215288162231445,0.6691350936889648,1746068390.0877438,1746068390.7990322
190,130,0.04878091812133789,1.9143776893615723,1746068390.2378795,1746068392.2010384
1071,297,0.04517388343811035,4.42290735244751,1746068390.3950694,1746068394.863151
1184,327,0.1258409023284912,4.816046714782715,1746068390.5458038,1746068395.4876919
377,30,0.04114103317260742,0.3623807430267334,1746068390.7021189,1746068391.1056418
924,222,0.054137468338012695,3.154956340789795,1746068390.853334,1746068394.0624285
826,173,0.08638811111450195,2.4191625118255615,1746068391.0071843,1746068393.5127351
696,158,0.04375338554382324,2.1879825592041016,1746068391.1611965,1746068393.3929327
717,276,0.05463457107543945,3.782177448272705,1746068391.3144479,1746068395.1512606
507,246,0.049337148666381836,3.589552402496338,1746068391.470514,1746068395.1094043
816,321,0.07534313201904297,4.410970687866211,1746068391.622339,1746068396.108653
351,134,0.047888755798339844,1.8850078582763672,1746068391.776687,1746068393.7095842
340,84,0.044767141342163086,1.1574647426605225,1746068391.9327295,1746068393.1349618
593,231,0.06107687950134277,3.4191904067993164,1746068392.084149,1746068395.564417
982,186,0.0917210578918457,2.488535165786743,1746068392.2407324,1746068394.820989
1214,416,0.07941246032714844,6.419179201126099,1746068392.3920128,1746068398.8906047
899,434,0.048366546630859375,6.179192781448364,1746068392.5462346,1746068398.7737947
450,272,0.05301833152770996,4.121291160583496,1746068392.7006826,1746068396.8749926
535,209,0.05257916450500488,3.133169412612915,1746068392.8553004,1746068396.0410497
898,250,0.08880305290222168,3.4128212928771973,1746068393.0079582,1746068396.5095828
633,120,0.07388591766357422,1.5650625228881836,1746068393.1621742,1746068394.801123
686,120,0.06387066841125488,1.5632572174072266,1746068393.315506,1746068394.9426346
1000,146,0.058400630950927734,1.918848991394043,1746068393.4734845,1746068395.4507346
487,7,0.04505181312561035,0.08099055290222168,1746068393.6228669,1746068393.7489102
782,253,0.047243595123291016,4.015372037887573,1746068393.7777183,1746068397.8403344
558,41,0.05043458938598633,0.6895596981048584,1746068393.932698,1746068394.6726928
488,133,0.06884312629699707,2.147404909133911,1746068394.0848358,1746068396.3010845
926,433,0.06294536590576172,7.008329629898071,1746068394.2379982,1746068401.3092735
780,350,0.08200740814208984,5.579242706298828,1746068394.3947117,1746068400.0559623
920,298,0.09348726272583008,4.680175542831421,1746068394.5458024,1746068399.3194654
614,281,0.05314469337463379,4.405147314071655,1746068394.69913,1746068399.1574225
1204,59,0.04709362983703613,0.8429107666015625,1746068394.853709,1746068395.7437139
889,22,0.08881139755249023,0.2666158676147461,1746068395.0076363,1746068395.363064
578,272,0.07283186912536621,4.292517423629761,1746068395.164296,1746068399.5296457
738,327,0.056485652923583984,5.252911329269409,1746068395.3190963,1746068400.6284935
997,289,0.09508371353149414,4.245697021484375,1746068395.4735153,1746068399.8142965
879,381,0.09021544456481934,6.158468961715698,1746068395.6220822,1746068401.870767
844,326,0.0726931095123291,4.783658266067505,1746068395.7799194,1746068400.636271
775,193,0.05240178108215332,3.0924224853515625,1746068395.930336,1746068399.0751607
1596,223,0.14734339714050293,3.5073864459991455,1746068396.0841537,1746068399.7388837
895,261,0.04575037956237793,3.9086763858795166,1746068396.2377336,1746068400.1921606
1172,302,0.05785989761352539,4.891319990158081,1746068396.392191,1746068401.341371
1218,162,0.11726069450378418,2.46026611328125,1746068396.5464087,1746068399.123936
739,391,0.07961201667785645,5.673707962036133,1746068396.6996052,1746068402.4529257
810,318,0.08001399040222168,5.13972282409668,1746068396.8536994,1746068402.0734367
1556,51,0.1489086151123047,0.7380564212799072,1746068397.0067513,1746068397.8937166
602,150,0.0530245304107666,2.2841310501098633,1746068397.1615536,1746068399.4987094
778,301,0.05521655082702637,4.483460187911987,1746068397.3182316,1746068401.8569088
742,254,0.08130240440368652,3.808194398880005,1746068397.4714634,1746068401.3609607
1443,189,0.1441490650177002,2.7762742042541504,1746068397.6226447,1746068400.5430684
