prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
21073.0,100.0,2.1316254138946533,6.376707553863525,583,1,1746086309.5244393,1746086318.0327725
21202.0,82.0,1.839205265045166,5.381738901138306,583,2,1746086318.074873,1746086325.295818
21073.0,100.0,4.464163541793823,5.6907799243927,584,1,1746086310.033914,1746086320.1888583
21202.0,100.0,0.14917802810668945,2.2828357219696045,584,2,1746086320.2857933,1746086322.7178078
21331.0,100.0,0.09706568717956543,4.553582429885864,584,3,1746086322.8037863,1746086327.454435
21073.0,100.0,6.196091651916504,2.0738234519958496,585,1,1746086310.5377057,1746086318.8076217
21202.0,100.0,0.09794163703918457,2.2614054679870605,585,2,1746086318.877671,1746086321.2370188
21331.0,100.0,0.10687613487243652,2.2607505321502686,585,3,1746086321.2960272,1746086323.6636543
21460.0,100.0,0.11771440505981445,4.544726848602295,585,4,1746086323.7137628,1746086328.3762045
21073.0,100.0,0.08223319053649902,7.09230375289917,586,1,1746086309.1216063,1746086316.2961442
21202.0,100.0,0.12656879425048828,8.286219120025635,586,2,1746086316.3630283,1746086324.7758167
21331.0,100.0,0.13756299018859863,3.7626793384552,586,3,1746086324.8256235,1746086328.7258666
21460.0,100.0,0.14566707611083984,3.999505043029785,586,4,1746086328.7658195,1746086332.9109921
21589.0,100.0,0.16602373123168945,10.250842094421387,586,5,1746086333.0041654,1746086343.4210322
21718.0,100.0,8.996220827102661,13.185613632202148,586,6,1746086343.4488175,1746086365.6306524
21073.0,100.0,4.053179025650024,4.017519474029541,592,1,1746086310.3357275,1746086318.4064312
21202.0,100.0,0.10410809516906738,2.2260217666625977,592,2,1746086318.4761803,1746086320.8063111
21331.0,100.0,0.0985877513885498,2.2598958015441895,592,3,1746086320.8932447,1746086323.251729
21460.0,100.0,0.10573768615722656,4.542732238769531,592,4,1746086323.312482,1746086327.9609525
21589.0,100.0,0.11001896858215332,2.1445586681365967,592,5,1746086328.0624905,1746086330.3170686
21718.0,100.0,0.10146331787109375,2.3185372352600098,592,6,1746086330.3808692,1746086332.8008702
21847.0,100.0,0.12041330337524414,2.550870418548584,592,7,1746086332.8034906,1746086335.474775
21976.0,100.0,0.13243627548217773,4.615264892578125,592,8,1746086335.536475,1746086340.2841766
22105.0,100.0,0.12807703018188477,2.4694833755493164,592,9,1746086340.330231,1746086342.9277918
22234.0,100.0,0.11609935760498047,2.465397834777832,592,10,1746086342.9411666,1746086345.5226645
22363.0,100.0,3.0752761363983154,4.654719591140747,592,11,1746086345.5828128,1746086353.3128088
22492.0,100.0,0.22446537017822266,7.259085178375244,592,12,1746086353.3164907,1746086360.8000414
22621.0,100.0,0.2057633399963379,12.28935956954956,592,13,1746086360.8950782,1746086373.3902016
