prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.6082298755645752,29.09226417541504,1746125444.8980715,1746125474.5985663
543,332,0.2914698123931885,37.05023002624512,1746125445.6442518,1746125482.9859521
550,286,0.37621331214904785,31.373335123062134,1746125446.3910768,1746125478.1406257
499,270,0.4748499393463135,29.02796244621277,1746125447.1371047,1746125476.6399176
1341,240,1.224714756011963,24.848705053329468,1746125447.8835733,1746125473.9569938
765,125,0.9256784915924072,11.60249948501587,1746125448.6297944,1746125461.1579738
981,181,0.705610990524292,18.439192533493042,1746125449.3754432,1746125468.5202472
968,244,1.3049943447113037,25.560241222381592,1746125450.1225083,1746125476.9877446
673,51,0.9840412139892578,3.8671839237213135,1746125450.868432,1746125455.719661
311,475,1.0309102535247803,51.371777057647705,1746125451.614316,1746125504.0170038
1209,77,4.8885509967803955,7.926771402359009,1746125452.3608384,1746125465.1761615
341,147,5.016621828079224,15.026321172714233,1746125453.1071544,1746125473.150098
517,250,5.06352162361145,28.62229347229004,1746125453.8529413,1746125487.5387568
477,262,4.883929014205933,29.72991371154785,1746125454.5995884,1746125489.2134314
1056,162,6.816577672958374,18.96483016014099,1746125455.3463213,1746125481.1277294
222,310,6.070044040679932,34.55697011947632,1746125456.0956357,1746125496.7226503
708,108,6.333610534667969,11.555183172225952,1746125456.8382916,1746125474.7270856
763,137,6.465938091278076,15.828038215637207,1746125457.5842576,1746125479.8782341
818,460,6.061883211135864,49.760311126708984,1746125458.331165,1746125514.15336
875,247,6.987194061279297,27.84097409248352,1746125459.077453,1746125493.9056213
348,42,6.746870279312134,4.800703048706055,1746125459.8236058,1746125471.3711798
190,130,7.005694389343262,15.793757915496826,1746125460.5692499,1746125483.3687027
1071,297,6.940677165985107,31.828647136688232,1746125461.3157003,1746125500.085025
1184,327,7.671062231063843,37.17470693588257,1746125462.063014,1746125506.9087837
377,30,9.503121614456177,5.043271064758301,1746125462.80913,1746125477.3555229
924,222,10.125514507293701,25.375906944274902,1746125463.5630827,1746125499.0645046
826,173,10.224486589431763,20.41497540473938,1746125464.3016913,1746125494.9411538
696,158,9.968469858169556,19.3283109664917,1746125465.0507302,1746125494.3475115
717,276,10.215452671051025,29.63222646713257,1746125465.7936037,1746125505.6412833
507,246,10.030147552490234,25.462225675582886,1746125466.5406005,1746125502.032974
816,321,9.288036823272705,33.724215507507324,1746125467.2857044,1746125510.2979572
351,134,8.954092741012573,14.592119455337524,1746125468.0330632,1746125491.5792758
340,84,8.581297874450684,8.949295282363892,1746125468.779206,1746125486.3097997
593,231,8.095157384872437,24.28637433052063,1746125469.5248644,1746125501.9063964
982,186,9.40605902671814,19.637526512145996,1746125470.2713807,1746125499.3149667
1214,416,9.302212953567505,40.31535363197327,1746125471.0176275,1746125520.6351943
899,434,9.858768701553345,41.8284969329834,1746125471.7641315,1746125523.4513977
450,272,10.476825714111328,27.18827486038208,1746125472.511301,1746125510.176402
535,242,9.98067831993103,24.590349435806274,1746125473.2564812,1746125507.8275094
898,250,11.58643364906311,25.78742218017578,1746125474.0032232,1746125511.3770795
633,120,12.721155405044556,11.978493690490723,1746125474.748891,1746125499.4485404
686,101,11.97367787361145,10.271505117416382,1746125475.4952002,1746125497.7403836
1000,146,12.968520164489746,13.834334135055542,1746125476.2417982,1746125503.044653
487,9,12.59617280960083,0.5236198902130127,1746125476.9879255,1746125490.1077187
782,253,14.68314790725708,24.993727684020996,1746125477.7337737,1746125517.4106498
558,45,14.54041838645935,4.459398031234741,1746125478.4798803,1746125497.4796972
488,133,13.796043395996094,12.73818588256836,1746125479.226261,1746125505.7604904
926,433,13.542000770568848,43.54875469207764,1746125479.972751,1746125537.0635073
780,350,14.158032655715942,32.20719122886658,1746125480.7188468,1746125527.0840712
920,298,16.007856369018555,27.52196955680847,1746125481.465183,1746125524.9950092
614,281,16.84189009666443,25.94057059288025,1746125482.2126958,1746125524.9951568
1204,112,19.761829614639282,12.514316320419312,1746125482.9574869,1746125515.233633
889,195,20.306666612625122,17.677663803100586,1746125483.7041411,1746125521.6884718
578,272,19.564130306243896,24.537752151489258,1746125484.4501526,1746125528.5520356
738,327,19.673274517059326,34.9688138961792,1746125485.1969225,1746125539.8390117
997,289,20.39078378677368,28.35965609550476,1746125485.942499,1746125534.6929393
879,381,20.877049684524536,39.86197304725647,1746125486.689268,1746125547.4282913
844,326,20.764033794403076,34.168835163116455,1746125487.4351847,1746125542.3680544
775,193,22.61902165412903,16.72726011276245,1746125488.182011,1746125527.528293
1596,223,23.394493341445923,20.98630666732788,1746125488.9276779,1746125533.3084788
895,261,23.471476078033447,27.645951986312866,1746125489.6746173,1746125540.7920458
1172,302,23.65720820426941,30.93704319000244,1746125490.426254,1746125545.0205057
1218,162,23.558139085769653,18.394081354141235,1746125491.16661,1746125533.118831
739,386,32.09753704071045,43.48804306983948,1746125491.9129188,1746125567.4984994
810,318,31.95069980621338,34.83625793457031,1746125492.6597872,1746125559.4467454
1556,51,33.418673515319824,4.489328622817993,1746125493.4060009,1746125531.3140035
602,150,32.673099756240845,18.834667444229126,1746125494.15208,1746125545.6598477
778,206,34.76815104484558,23.576961278915405,1746125494.8980618,1746125553.2431743
742,254,34.019688844680786,28.586825847625732,1746125495.6447852,1746125558.2513003
1443,189,36.06865882873535,21.84874725341797,1746125496.3913221,1746125554.308729
541,294,35.32725691795349,32.292487144470215,1746125497.137499,1746125564.7572436
857,131,35.234607458114624,16.02156925201416,1746125497.8830876,1746125549.1392646
