,n_requests,n_fail,n_oom,n_toks,n_exclude,consistent_pct,throughput,latency_prefill_ms,latency_nexttoken_ms,latency_e2e_ms
1,42,0,0,2100,0,100.0,70.0,40.22513297619047,14.020940521865889,727.2512185476191
2,80,0,0,4000,0,56.3,133.33333333333334,62.7063024875,14.188757113775509,757.9554010625
