prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
658,275,0.05044412612915039,4.9051361083984375,1746766918.622317,1746766923.5778975
512,332,0.036147356033325195,6.108468770980835,1746766918.6848085,1746766924.8294249
517,234,0.032972097396850586,4.126595735549927,1746766918.7475784,1746766922.9071465
483,270,0.03437542915344238,4.911630392074585,1746766918.8100238,1746766923.7560296
1309,240,0.03605031967163086,4.342209100723267,1746766918.8725264,1746766923.250786
742,125,0.03884387016296387,2.0845835208892822,1746766918.9353578,1746766921.0587854
947,181,0.04647517204284668,3.195850133895874,1746766918.9979093,1746766922.2402349
973,244,0.05499267578125,4.503603219985962,1746766919.06024,1746766923.6188362
646,51,0.04135632514953613,0.7747530937194824,1746766919.1218674,1746766919.9379783
267,475,0.0349125862121582,9.55973196029663,1746766919.1846957,1746766928.7793405
1179,77,0.04857969284057617,1.2650597095489502,1746766919.2471366,1746766920.5607767
306,234,0.03144717216491699,4.3704211711883545,1746766919.309464,1746766923.7113326
482,250,0.043196678161621094,4.7326500415802,1746766919.3722684,1746766924.1481154
448,262,0.04287409782409668,4.999332666397095,1746766919.4345317,1746766924.476739
1029,162,0.04418373107910156,2.954347848892212,1746766919.497854,1746766922.4963858
199,310,0.043677330017089844,6.07099175453186,1746766919.5594542,1746766925.6741235
680,108,0.040823936462402344,1.9193179607391357,1746766919.622281,1746766921.5824232
731,137,0.04493451118469238,2.5110294818878174,1746766919.6843483,1746766922.2403126
779,460,0.04199337959289551,9.503922700881958,1746766919.747517,1746766929.2934337
845,247,0.04881715774536133,4.8107850551605225,1746766919.809779,1746766924.6693814
323,53,0.03164958953857422,0.9185974597930908,1746766919.8740368,1746766920.824284
165,130,0.027837038040161133,2.4340884685516357,1746766919.9380882,1746766922.4000144
1041,297,0.03524303436279297,5.951056718826294,1746766919.9974113,1746766925.9837112
1128,327,0.04802060127258301,6.61106538772583,1746766920.059923,1746766926.7190092
344,30,0.03063178062438965,0.5200507640838623,1746766920.12542,1746766920.6761029
899,222,0.0431821346282959,4.378309965133667,1746766920.185207,1746766924.6066992
802,173,0.05142068862915039,3.381049633026123,1746766920.247573,1746766923.6800435
